"annotation_id","annotator","confidence","created_at","difficulty","grade_level","hypothesis","id","lead_time","negation_flag","nli_label","premise","rationale","sample_id","source_id","subject","topic","updated_at"
1,"1","high","2026-03-21T09:20:30.992939Z","easy","12","Phần mở đầu có thể trình bày luận điểm chính.",1,200.176,"no","ENT","Đoạn văn yêu cầu người viết nêu luận điểm chính ngay ở phần mở đầu.","Tiền đề khẳng định việc nêu luận điểm chính ở phần mở đầu là một ""yêu cầu"" (mang tính bắt buộc/hướng dẫn). Nếu một việc được yêu cầu thực hiện ở phần mở đầu, thì hiển nhiên phần mở đầu ""có thể"" (khả năng) thực hiện/trình bày việc đó. Do ""must/require"" (phải/yêu cầu) luôn bao hàm ""can"" (có thể), tiền đề hoàn toàn suy ra được giả thuyết.","VNLI_DEMO_0001","SRC0001","Ngu_van","nghi_luan","2026-03-21T09:20:30.992963Z"
2,"1","high","2026-03-21T09:21:04.257145Z","easy","12","Học sinh sẽ viết về một chủ đề xã hội.",2,32.443,"no","ENT","Giáo viên yêu cầu học sinh viết đoạn văn khoảng 200 chữ về ý nghĩa của lòng biết ơn.","""Lòng biết ơn"" là một vấn đề tư tưởng đạo lý, thuộc phạm trù ""chủ đề xã hội"" (rất phổ biến trong dạng bài nghị luận xã hội môn Ngữ Văn). Vì học sinh được yêu cầu viết về ""lòng biết ơn"", điều đó đồng nghĩa với việc các em sẽ viết về một ""chủ đề xã hội"". Tiền đề hoàn toàn suy ra được giả thuyết.","VNLI_DEMO_0002","SRC0001","Ngu_van","nghi_luan","2026-03-21T09:21:04.257163Z"
3,"1","high","2026-03-21T09:21:33.282822Z","easy","11","Người kể chuyện xưng tôi.",3,28.22,"no","ENT","Văn bản cho biết tác giả sử dụng ngôi kể thứ nhất.","Trong kiến thức Ngữ Văn cơ bản, ""ngôi kể thứ nhất"" được định nghĩa đặc trưng bởi việc người kể chuyện trực tiếp xuất hiện trong tác phẩm và xưng ""tôi"". Do đó, khi tác giả sử dụng ngôi kể thứ nhất, hiển nhiên người kể chuyện xưng tôi. Tiền đề hoàn toàn suy ra được giả thuyết.","VNLI_DEMO_0003","SRC0001","Ngu_van","doc_hieu","2026-03-21T09:21:33.282841Z"
4,"1","high","2026-03-21T09:22:10.490333Z","easy","12","Học tủ là cách học không được khuyến khích.",4,36.404,"yes","ENT","Tài liệu ôn tập nhấn mạnh rằng học sinh không nên học tủ trước kì kiểm tra.","Lời khuyên ""không nên"" từ tài liệu ôn tập trong tiền đề mang ý nghĩa tương đương với việc hành động đó ""không được khuyến khích"" nêu ở giả thuyết. Mối quan hệ ngữ nghĩa ở đây rất rõ ràng, tiền đề hoàn toàn khẳng định tính đúng đắn của giả thuyết.","VNLI_DEMO_0004","SRC0001","Ngu_van","ky_nang_viet","2026-03-21T09:22:10.490353Z"
5,"1","high","2026-03-21T09:22:40.218180Z","easy","10","Người đọc có thể nhận ra ý chính ngay từ đầu đoạn.",5,28.928,"no","ENT","Đoạn văn mẫu đặt câu chủ đề ở câu đầu tiên.","Về mặt kiến thức tạo lập văn bản, ""câu chủ đề"" là câu chứa đựng ""ý chính"" của toàn đoạn. Khi câu chủ đề được đặt ở ""câu đầu tiên"", điều đó đồng nghĩa với việc ""ý chính"" đã xuất hiện ""ngay từ đầu đoạn"", giúp người đọc có thể dễ dàng nhận ra. Tiền đề hoàn toàn bao hàm và khẳng định giả thuyết.","VNLI_DEMO_0005","SRC0001","Ngu_van","doc_hieu","2026-03-21T09:22:40.218201Z"
6,"1","high","2026-03-21T09:23:14.996965Z","easy","12","Bài làm cần đề cập đến cả hai nhân vật.",6,33.972,"no","ENT","Đề bài yêu cầu so sánh hai nhân vật trong hai đoạn trích.","Thao tác ""so sánh hai nhân vật"" bắt buộc người viết phải phân tích, đối chiếu để tìm ra điểm giống và khác nhau giữa họ. Do đó, một điều kiện hiển nhiên và bắt buộc là bài làm ""cần đề cập đến cả hai nhân vật"". Tiền đề hoàn toàn khẳng định tính đúng đắn của giả thuyết.","VNLI_DEMO_0006","SRC0001","Ngu_van","nghi_luan","2026-03-21T09:23:14.996987Z"
7,"1","high","2026-03-21T09:23:46.058800Z","medium","10","Đoạn thơ có sử dụng phép lặp.",7,30.247,"no","ENT","Trong đoạn thơ người viết lặp lại nhiều lần cụm từ quê hương.","Việc ""lặp lại nhiều lần"" một cụm từ (ở đây là ""quê hương"") trong văn bản nghệ thuật chính là biểu hiện trực tiếp của biện pháp tu từ ""phép lặp"" (hay điệp từ/điệp ngữ). Do đó, nội dung của tiền đề hoàn toàn bao hàm và khẳng định tính đúng đắn của giả thuyết.","VNLI_DEMO_0007","SRC0001","Ngu_van","doc_hieu","2026-03-21T09:23:46.058829Z"
8,"1","high","2026-03-21T09:24:15.606176Z","easy","11","Kết bài có chức năng tổng kết vấn đề.",8,28.724,"no","ENT","Phần kết bài được hướng dẫn dùng để khái quát lại vấn đề đã bàn luận.","Thao tác ""khái quát lại vấn đề đã bàn luận"" mang ý nghĩa đồng nhất hoàn toàn với việc ""tổng kết vấn đề"". Hai câu này diễn đạt cùng một nội dung về chức năng của phần kết bài trong văn bản nghị luận. Tiền đề khẳng định và kéo theo giả thuyết một cách rõ ràng.","VNLI_DEMO_0008","SRC0001","Ngu_van","nghi_luan","2026-03-21T09:24:15.606197Z"
9,"1","high","2026-03-21T09:24:52.960673Z","easy","10","Đoạn thơ nói về tình cảm gia đình.",9,36.548,"no","ENT","Đoạn thơ thể hiện tình cảm gắn bó giữa các thành viên trong gia đình.","""Tình cảm gắn bó giữa các thành viên trong gia đình"" chính là định nghĩa và biểu hiện cụ thể của khái niệm ""tình cảm gia đình"". Việc đoạn thơ thể hiện sự gắn bó này đồng nghĩa với việc nó đang nói về đề tài tình cảm gia đình. Tiền đề hoàn toàn bao hàm và suy ra được giả thuyết.","VNLI_DEMO_0009","SRC0001","Ngu_van","doc_hieu","2026-03-21T09:24:52.960697Z"
10,"1","high","2026-03-21T09:25:29.125637Z","medium","12","Học sinh chỉ cần dựa vào văn bản đã cho để trả lời.",10,35.351,"yes","ENT","Hướng dẫn làm bài nói rõ rằng không cần dùng dẫn chứng ngoài văn bản cho câu hỏi này.","Yêu cầu ""không cần dùng dẫn chứng ngoài văn bản"" mang ý nghĩa giới hạn phạm vi dữ liệu. Nếu không cần bất cứ thứ gì từ bên ngoài, điều đó đồng nghĩa với việc mọi thông tin cần thiết đều đã có sẵn ở bên trong. Do đó, việc học sinh ""chỉ cần dựa vào văn bản đã cho để trả lời"" là một suy luận hoàn toàn chính xác và tương đương về mặt ngữ nghĩa. Tiền đề kéo theo giả thuyết.","VNLI_DEMO_0010","SRC0001","Ngu_van","doc_hieu","2026-03-21T09:25:29.125655Z"
