sample_id,premise,hypothesis,topic,grade_level,subject,source_id,difficulty,negation_flag,final_label,adjudication_status,final_quality_flags
VNLI_DEMO_0003,Văn bản cho biết tác giả sử dụng ngôi kể thứ nhất.,Người kể chuyện xưng tôi.,doc_hieu,11,Ngu_van,SRC0001,easy,no,ENT,accepted_without_label_conflict,
VNLI_DEMO_0004,Tài liệu ôn tập nhấn mạnh rằng học sinh không nên học tủ trước kì kiểm tra.,Học tủ là cách học không được khuyến khích.,ky_nang_viet,12,Ngu_van,SRC0001,easy,yes,ENT,accepted_without_label_conflict,
VNLI_DEMO_0007,Trong đoạn thơ người viết lặp lại nhiều lần cụm từ quê hương.,Đoạn thơ có sử dụng phép lặp.,doc_hieu,10,Ngu_van,SRC0001,medium,no,ENT,accepted_without_label_conflict,
VNLI_DEMO_0008,Phần kết bài được hướng dẫn dùng để khái quát lại vấn đề đã bàn luận.,Kết bài có chức năng tổng kết vấn đề.,nghi_luan,11,Ngu_van,SRC0001,easy,no,ENT,accepted_without_label_conflict,
VNLI_DEMO_0010,Hướng dẫn làm bài nói rõ rằng không cần dùng dẫn chứng ngoài văn bản cho câu hỏi này.,Học sinh chỉ cần dựa vào văn bản đã cho để trả lời.,doc_hieu,12,Ngu_van,SRC0001,medium,yes,ENT,accepted_without_label_conflict,
VNLI_DEMO_0011,Văn bản cho biết nhân vật im lặng trong suốt buổi đối thoại.,Nhân vật nói rất nhiều trong buổi đối thoại.,doc_hieu,11,Ngu_van,SRC0001,easy,no,CON,accepted_without_label_conflict,
VNLI_DEMO_0013,Giáo viên dặn học sinh không chép lại nguyên câu hỏi vào bài kiểm tra.,Học sinh phải chép nguyên câu hỏi vào bài làm.,ky_nang_viet,12,Ngu_van,SRC0001,easy,yes,CON,accepted_without_label_conflict,
VNLI_DEMO_0017,Tác giả sử dụng giọng điệu trang trọng trong toàn bộ bài viết.,Bài viết mang giọng điệu hài hước và bông đùa.,doc_hieu,12,Ngu_van,SRC0001,medium,no,CON,accepted_without_label_conflict,
VNLI_DEMO_0019,Trong ngữ cảnh này từ xuân được dùng để chỉ tuổi trẻ của con người.,Từ xuân trong câu được dùng để chỉ mùa trong năm.,tieng_viet,12,Ngu_van,SRC0001,medium,no,CON,accepted_without_label_conflict,
VNLI_DEMO_0020,Văn bản nhấn mạnh giá trị của sự trung thực trong học tập.,Văn bản cổ vũ hành vi gian lận trong thi cử.,nghi_luan,11,Ngu_van,SRC0001,easy,no,CON,accepted_without_label_conflict,
VNLI_DEMO_0021,Đoạn trích nói về tình bạn trong những năm học phổ thông.,Tác giả của đoạn trích sinh ra ở Huế.,doc_hieu,10,Ngu_van,SRC0001,medium,no,NEU,accepted_without_label_conflict,
VNLI_DEMO_0024,Giáo viên yêu cầu học sinh làm việc nhóm để thảo luận chi tiết nghệ thuật.,Mỗi nhóm gồm đúng bốn học sinh.,ky_nang_viet,10,Ngu_van,SRC0001,medium,no,NEU,accepted_without_label_conflict,
VNLI_DEMO_0026,Ngữ liệu có sử dụng một câu hỏi tu từ ở cuối đoạn văn.,Người viết đã từng đoạt giải văn cấp quốc gia.,tieng_viet,12,Ngu_van,SRC0001,medium,no,NEU,accepted_without_label_conflict,ambiguous_hypothesis
VNLI_DEMO_0028,Đề bài yêu cầu liên hệ bản thân sau khi phân tích văn bản.,Học sinh sẽ nộp bài bằng hình thức trực tuyến.,nghi_luan,12,Ngu_van,SRC0001,medium,no,NEU,accepted_without_label_conflict,
VNLI_DEMO_0030,Giáo viên yêu cầu học sinh đọc kĩ phần chú thích trước khi trả lời câu hỏi.,Bài kiểm tra sẽ kéo dài 45 phút.,ky_nang_viet,11,Ngu_van,SRC0001,medium,no,NEU,accepted_without_label_conflict,
